5.51E+13,2, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-70
5.51E+13,2, autosound, 80:ea:96:eb:1e:fc,-61
5.51E+13,2, hotspot_mike, 60:36:dd:cb:c1:4f,-55
5.51E+13,2, TUDelft-Event, 1c:aa:07:7b:39:13,-65
5.51E+13,2, eduroam, 1c:aa:07:6e:31:a0,-67
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:7a:b3,-71
5.51E+13,2, TUDelft-Event, 1c:aa:07:6e:31:a3,-67
5.51E+13,2, TUvisitor, 1c:aa:07:6e:31:a1,-67
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:7a:b2,-73
5.51E+13,2, NaoNet3, 00:0c:f6:a6:3c:e8,-72
5.51E+13,2, TUvisitor, 1c:aa:07:b0:7a:b1,-73
5.51E+13,2, TUDelft-Event, 1c:aa:07:7b:37:03,-79
5.51E+13,2, eduroam, 1c:aa:07:b0:7a:b0,-72
5.51E+13,2, RFID-AP, 00:22:f7:21:d0:38,-95
5.51E+13,2, Router_Joost, 48:f8:b3:40:f1:a9,-94
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:7c:03,-82
5.51E+13,2, eduroam, 1c:aa:07:7b:37:00,-81
5.51E+13,2, eduroam, 1c:aa:07:b0:7c:00,-82
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:7c:02,-83
5.51E+13,2, TUvisitor, 1c:aa:07:b0:7c:01,-83
5.51E+13,2, tudelft-dastud, 1c:aa:07:7b:39:12,-65
5.51E+13,2, TUDelft-Event, 24:01:c7:76:2a:33,-79
5.51E+13,2, sape, 20:c9:d0:18:43:f3,-91
5.51E+13,2, C150BRS4, 00:22:f7:20:a1:98,-99
5.51E+13,2, TUvisitor, 24:01:c7:76:2a:31,-80
5.51E+13,2, eduroam, 1c:aa:07:7b:39:10,-65
5.51E+13,2, tudelft-dastud, 1c:aa:07:6e:31:a2,-68
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:80:c3,-84
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:80:c2,-85
5.51E+13,2, TUvisitor, 1c:aa:07:7b:39:11,-65
5.51E+13,2, TUvisitor, 1c:aa:07:7b:37:01,-81
5.51E+13,2, TUvisitor, 1c:aa:07:b0:80:c1,-85
5.51E+13,2, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-73
5.51E+13,2, autosound, 80:ea:96:eb:1e:fc,-58
5.51E+13,2, hotspot_mike, 60:36:dd:cb:c1:4f,-53
5.51E+13,2, TUDelft-Event, 1c:aa:07:7b:39:13,-65
5.51E+13,2, eduroam, 1c:aa:07:6e:31:a0,-68
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:7a:b3,-71
5.51E+13,2, TUDelft-Event, 1c:aa:07:6e:31:a3,-69
5.51E+13,2, TUvisitor, 1c:aa:07:6e:31:a1,-68
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:7a:b2,-73
5.51E+13,2, NaoNet3, 00:0c:f6:a6:3c:e8,-74
5.51E+13,2, TUvisitor, 1c:aa:07:b0:7a:b1,-70
5.51E+13,2, RFID-AP, 00:22:f7:21:d0:38,-91
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:7c:03,-77
5.51E+13,2, eduroam, 1c:aa:07:7b:37:00,-81
5.51E+13,2, eduroam, 1c:aa:07:b0:7c:00,-82
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:7c:02,-83
5.51E+13,2, TUvisitor, 1c:aa:07:b0:7c:01,-83
5.51E+13,2, tudelft-dastud, 1c:aa:07:7b:39:12,-65
5.51E+13,2, TUDelft-Event, 24:01:c7:76:2a:33,-79
5.51E+13,2, sape, 20:c9:d0:18:43:f3,-91
5.51E+13,2, eduroam, 1c:aa:07:7b:39:10,-65
5.51E+13,2, tudelft-dastud, 1c:aa:07:6e:31:a2,-70
5.51E+13,2, TUDelft-Event, 1c:aa:07:b0:80:c3,-82
5.51E+13,2, tudelft-dastud, 1c:aa:07:b0:80:c2,-85
5.51E+13,2, TUvisitor, 1c:aa:07:7b:39:11,-65
5.51E+13,2, TUvisitor, 1c:aa:07:7b:37:01,-81
5.51E+13,2, TUvisitor, 1c:aa:07:b0:80:c1,-83
5.51E+13,2, eduroam, 24:01:c7:76:2a:30,-79
5.51E+13,2, eduroam, 1c:aa:07:b0:80:c0,-83
